annee,janvier,fevrier,mars,avril,mai,juin,juillet,aout,septembre,octobre,novembre,decembre,total
11,2021,396.7,302.8,271,228.3,138.3,1.4,0,0,0,0,0,0,1338.2
12,2020,339,249.6,268.6,81.4,65.7,20.6,0.9,4.5,34.3,157.5,227.2,336.8,1785.9
13,2019,404.9,268.3,233.1,168.5,117.9,24.4,0,1.7,26.7,133.7,282.6,327.3,1989
14,2018,303.4,432.6,314.3,119.7,55.9,8.1,0,3.3,34.3,122.4,282.5,325.9,2002.2
15,2017,467.9,278.4,206.1,182.6,75,9.4,1,6.8,62.6,99.4,282.6,369,2040.6
16,2016,364.4,321.6,321.1,212.1,88.1,27.5,5.7,3.2,11.7,176,285.6,390.8,2207.3
17,2015,392,365.7,275.5,141.1,91.5,15.8,6.9,6.1,71.9,176.9,195,248.1,1986.2
18,2014,324.4,281.9,223.9,135.5,100.2,19.1,8.3,19.3,16,92.3,222.6,368.2,1811.5
19,2013,429.2,402.2,376.6,209.5,158.4,43.6,0.6,5,41.5,105,303.9,349.5,2424.8
20,2012,336,435.9,201.9,230.3,83.3,35,12.4,2.4,58,154.6,296.2,345.9,2191.5
21,2011,392,304.8,243.1,77.6,43.4,31.4,15,11.9,23.2,127.6,226.6,312.7,1809
22,2010,499.2,371.4,294.5,165.3,140.9,22.6,0,11.1,52.3,172.2,310,512,2551.1
23,2009,486.8,365.7,293.2,135.1,82.2,39.8,3.1,0.9,26.9,149.6,224.7,411.8,2219.7
